year,champion,runner_up,third_place,fourth_place
2002,Brazil,Germany,Turkey,South Korea
2006,Italy,France,Germany,Portugal
2010,Spain,Netherlands,Germany,Uruguay
2014,Germany,Argentina,Netherlands,Brazil
2018,France,Croatia,Belgium,England
2022,Argentina,France,Croatia,Morocco
