match_id,tournament_year,stage,group_name,date,home_team,away_team,home_goals,away_goals,winner,is_draw,went_to_extra_time,went_to_penalties,home_penalties,away_penalties,stadium,city,host_country
M-2006-31,2006,group stage,Group H,2006-06-19,Saudi Arabia,Ukraine,0,4,Ukraine,False,0,0,0,0,Volksparkstadion,Hamburg,Germany
M-2006-32,2006,group stage,Group H,2006-06-19,Spain,Tunisia,3,1,Spain,False,0,0,0,0,Neckarstadion,Stuttgart,Germany
M-2006-33,2006,group stage,Group A,2006-06-20,Costa Rica,Poland,1,2,Poland,False,0,0,0,0,Niedersachsenstadion,Hanover,Germany
M-2006-34,2006,group stage,Group A,2006-06-20,Ecuador,Germany,0,3,Germany,False,0,0,0,0,Olympiastadion,Berlin,Germany
M-2006-35,2006,group stage,Group B,2006-06-20,Paraguay,Trinidad and Tobago,2,0,Paraguay,False,0,0,0,0,Fritz-Walter-Stadion,Kaiserslautern,Germany
M-2006-36,2006,group stage,Group B,2006-06-20,Sweden,England,2,2,Draw,True,0,0,0,0,RheinEnergieStadion,Cologne,Germany
M-2006-37,2006,group stage,Group D,2006-06-21,Iran,Angola,1,1,Draw,True,0,0,0,0,Zentralstadion,Leipzig,Germany
M-2006-38,2006,group stage,Group D,2006-06-21,Portugal,Mexico,2,1,Portugal,False,0,0,0,0,Arena AufShalke,Gelsenkirchen,Germany
M-2006-39,2006,group stage,Group C,2006-06-21,Ivory Coast,Serbia and Montenegro,3,2,Ivory Coast,False,0,0,0,0,Allianz Arena,Munich,Germany
M-2006-40,2006,group stage,Group C,2006-06-21,Netherlands,Argentina,0,0,Draw,True,0,0,0,0,Waldstadion,Frankfurt,Germany
M-2006-41,2006,group stage,Group E,2006-06-22,Czech Republic,Italy,0,2,Italy,False,0,0,0,0,Volksparkstadion,Hamburg,Germany
M-2006-42,2006,group stage,Group E,2006-06-22,Ghana,United States,2,1,Ghana,False,0,0,0,0,Frankenstadion,Nuremberg,Germany
M-2006-43,2006,group stage,Group F,2006-06-22,Croatia,Australia,2,2,Draw,True,0,0,0,0,Neckarstadion,Stuttgart,Germany
M-2006-44,2006,group stage,Group F,2006-06-22,Japan,Brazil,1,4,Brazil,False,0,0,0,0,Westfalenstadion,Dortmund,Germany
M-2006-45,2006,group stage,Group H,2006-06-23,Saudi Arabia,Spain,0,1,Spain,False,0,0,0,0,Fritz-Walter-Stadion,Kaiserslautern,Germany
M-2006-46,2006,group stage,Group H,2006-06-23,Ukraine,Tunisia,1,0,Ukraine,False,0,0,0,0,Olympiastadion,Berlin,Germany
M-2006-47,2006,group stage,Group G,2006-06-23,Switzerland,South Korea,2,0,Switzerland,False,0,0,0,0,Niedersachsenstadion,Hanover,Germany
M-2006-48,2006,group stage,Group G,2006-06-23,Togo,France,0,2,France,False,0,0,0,0,RheinEnergieStadion,Cologne,Germany
M-2006-49,2006,round of 16,not applicable,2006-06-24,Germany,Sweden,2,0,Germany,False,0,0,0,0,Allianz Arena,Munich,Germany
M-2006-50,2006,round of 16,not applicable,2006-06-24,Argentina,Mexico,2,1,Argentina,False,1,0,0,0,Zentralstadion,Leipzig,Germany
M-2006-51,2006,round of 16,not applicable,2006-06-25,England,Ecuador,1,0,England,False,0,0,0,0,Neckarstadion,Stuttgart,Germany
M-2006-52,2006,round of 16,not applicable,2006-06-25,Portugal,Netherlands,1,0,Portugal,False,0,0,0,0,Frankenstadion,Nuremberg,Germany
M-2006-53,2006,round of 16,not applicable,2006-06-26,Italy,Australia,1,0,Italy,False,0,0,0,0,Fritz-Walter-Stadion,Kaiserslautern,Germany
M-2006-54,2006,round of 16,not applicable,2006-06-26,Switzerland,Ukraine,0,0,Draw,True,1,1,0,3,RheinEnergieStadion,Cologne,Germany
M-2006-55,2006,round of 16,not applicable,2006-06-27,Brazil,Ghana,3,0,Brazil,False,0,0,0,0,Westfalenstadion,Dortmund,Germany
M-2006-56,2006,round of 16,not applicable,2006-06-27,Spain,France,1,3,France,False,0,0,0,0,Niedersachsenstadion,Hanover,Germany
M-2006-57,2006,quarter-finals,not applicable,2006-06-30,Germany,Argentina,1,1,Draw,True,1,1,4,2,Olympiastadion,Berlin,Germany
M-2006-58,2006,quarter-finals,not applicable,2006-06-30,Italy,Ukraine,3,0,Italy,False,0,0,0,0,Volksparkstadion,Hamburg,Germany
M-2006-59,2006,quarter-finals,not applicable,2006-07-01,England,Portugal,0,0,Draw,True,1,1,1,3,Arena AufShalke,Gelsenkirchen,Germany
M-2006-60,2006,quarter-finals,not applicable,2006-07-01,Brazil,France,0,1,France,False,0,0,0,0,Waldstadion,Frankfurt,Germany
M-2006-61,2006,semi-finals,not applicable,2006-07-04,Germany,Italy,0,2,Italy,False,1,0,0,0,Westfalenstadion,Dortmund,Germany
M-2006-62,2006,semi-finals,not applicable,2006-07-05,Portugal,France,0,1,France,False,0,0,0,0,Allianz Arena,Munich,Germany
M-2006-63,2006,third-place match,not applicable,2006-07-08,Germany,Portugal,3,1,Germany,False,0,0,0,0,Neckarstadion,Stuttgart,Germany
M-2006-64,2006,final,not applicable,2006-07-09,Italy,France,1,1,Draw,True,1,1,5,3,Olympiastadion,Berlin,Germany
M-2010-01,2010,group stage,Group A,2010-06-11,South Africa,Mexico,1,1,Draw,True,0,0,0,0,Soccer City,Johannesburg,South Africa
M-2010-02,2010,group stage,Group A,2010-06-11,Uruguay,France,0,0,Draw,True,0,0,0,0,Cape Town Stadium,Cape Town,South Africa
M-2010-03,2010,group stage,Group B,2010-06-12,South Korea,Greece,2,0,South Korea,False,0,0,0,0,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa
M-2010-04,2010,group stage,Group B,2010-06-12,Argentina,Nigeria,1,0,Argentina,False,0,0,0,0,Ellis Park Stadium,Johannesburg,South Africa
M-2010-05,2010,group stage,Group C,2010-06-12,England,United States,1,1,Draw,True,0,0,0,0,Royal Bafokeng Stadium,Rustenburg,South Africa
M-2010-06,2010,group stage,Group C,2010-06-13,Algeria,Slovenia,0,1,Slovenia,False,0,0,0,0,Peter Mokaba Stadium,Polokwane,South Africa
M-2010-07,2010,group stage,Group D,2010-06-13,Serbia,Ghana,0,1,Ghana,False,0,0,0,0,Loftus Versfeld Stadium,Pretoria,South Africa
M-2010-08,2010,group stage,Group D,2010-06-13,Germany,Australia,4,0,Germany,False,0,0,0,0,Moses Mabhida Stadium,Durban,South Africa
M-2010-09,2010,group stage,Group E,2010-06-14,Netherlands,Denmark,2,0,Netherlands,False,0,0,0,0,Soccer City,Johannesburg,South Africa
M-2010-10,2010,group stage,Group E,2010-06-14,Japan,Cameroon,1,0,Japan,False,0,0,0,0,Free State Stadium,Bloemfontein,South Africa
M-2010-11,2010,group stage,Group F,2010-06-14,Italy,Paraguay,1,1,Draw,True,0,0,0,0,Cape Town Stadium,Cape Town,South Africa
M-2010-12,2010,group stage,Group F,2010-06-15,New Zealand,Slovakia,1,1,Draw,True,0,0,0,0,Royal Bafokeng Stadium,Rustenburg,South Africa
M-2010-13,2010,group stage,Group G,2010-06-15,Ivory Coast,Portugal,0,0,Draw,True,0,0,0,0,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa
M-2010-14,2010,group stage,Group G,2010-06-15,Brazil,North Korea,2,1,Brazil,False,0,0,0,0,Ellis Park Stadium,Johannesburg,South Africa
M-2010-15,2010,group stage,Group H,2010-06-16,Honduras,Chile,0,1,Chile,False,0,0,0,0,Mbombela Stadium,Nelspruit,South Africa
M-2010-16,2010,group stage,Group H,2010-06-16,Spain,Switzerland,0,1,Switzerland,False,0,0,0,0,Moses Mabhida Stadium,Durban,South Africa
M-2010-17,2010,group stage,Group A,2010-06-16,South Africa,Uruguay,0,3,Uruguay,False,0,0,0,0,Loftus Versfeld Stadium,Pretoria,South Africa
M-2010-18,2010,group stage,Group B,2010-06-17,Argentina,South Korea,4,1,Argentina,False,0,0,0,0,Soccer City,Johannesburg,South Africa
M-2010-19,2010,group stage,Group B,2010-06-17,Greece,Nigeria,2,1,Greece,False,0,0,0,0,Free State Stadium,Bloemfontein,South Africa
M-2010-20,2010,group stage,Group A,2010-06-17,France,Mexico,0,2,Mexico,False,0,0,0,0,Peter Mokaba Stadium,Polokwane,South Africa
M-2010-21,2010,group stage,Group D,2010-06-18,Germany,Serbia,0,1,Serbia,False,0,0,0,0,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa
M-2010-22,2010,group stage,Group C,2010-06-18,Slovenia,United States,2,2,Draw,True,0,0,0,0,Ellis Park Stadium,Johannesburg,South Africa
M-2010-23,2010,group stage,Group C,2010-06-18,England,Algeria,0,0,Draw,True,0,0,0,0,Cape Town Stadium,Cape Town,South Africa
M-2010-24,2010,group stage,Group E,2010-06-19,Netherlands,Japan,1,0,Netherlands,False,0,0,0,0,Moses Mabhida Stadium,Durban,South Africa
M-2010-25,2010,group stage,Group D,2010-06-19,Ghana,Australia,1,1,Draw,True,0,0,0,0,Royal Bafokeng Stadium,Rustenburg,South Africa
M-2010-26,2010,group stage,Group E,2010-06-19,Cameroon,Denmark,1,2,Denmark,False,0,0,0,0,Loftus Versfeld Stadium,Pretoria,South Africa
M-2010-27,2010,group stage,Group F,2010-06-20,Slovakia,Paraguay,0,2,Paraguay,False,0,0,0,0,Free State Stadium,Bloemfontein,South Africa
M-2010-28,2010,group stage,Group F,2010-06-20,Italy,New Zealand,1,1,Draw,True,0,0,0,0,Mbombela Stadium,Nelspruit,South Africa
M-2010-29,2010,group stage,Group G,2010-06-20,Brazil,Ivory Coast,3,1,Brazil,False,0,0,0,0,Soccer City,Johannesburg,South Africa
M-2010-30,2010,group stage,Group G,2010-06-21,Portugal,North Korea,7,0,Portugal,False,0,0,0,0,Cape Town Stadium,Cape Town,South Africa
M-2010-31,2010,group stage,Group H,2010-06-21,Chile,Switzerland,1,0,Chile,False,0,0,0,0,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa
M-2010-32,2010,group stage,Group H,2010-06-21,Spain,Honduras,2,0,Spain,False,0,0,0,0,Ellis Park Stadium,Johannesburg,South Africa
