team,team_zh,country_code,group,nationality,player_name,jersey_number,position,date_of_birth,age,height_cm,preferred_foot,market_value_eur_m,club,national_caps,national_goals,goal_rate,fifa_ranking,elo,data_source,source_url,squad_status
Czechia,捷克,CZE,Group A,捷克,Michal Sadílek,18,Midfielder,"May 31, 1999",27,,N/A,,Slavia Prague,35,1,0.029,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Czechia,捷克,CZE,Group A,捷克,Tomáš Chorý,19,Forward,"January 26, 1995",31,,N/A,,Slavia Prague,22,7,0.318,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Czechia,捷克,CZE,Group A,捷克,Jaroslav Zelený,20,Defender,"August 20, 1992",33,,N/A,,Sparta Prague,23,0,0.0,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Czechia,捷克,CZE,Group A,捷克,David Douděra,21,Defender,"May 31, 1998",28,,N/A,,Slavia Prague,17,2,0.118,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Czechia,捷克,CZE,Group A,捷克,Tomáš Souček,22,Midfielder,"February 27, 1995",31,,N/A,,West Ham United,90,17,0.189,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Czechia,捷克,CZE,Group A,捷克,Lukáš Horníček,23,Goalkeeper,"July 13, 2002",23,,N/A,,Braga,1,0,0.0,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Czechia,捷克,CZE,Group A,捷克,Alexandr Sojka,24,Midfielder,"April 2, 2003",23,,N/A,,Viktoria Plzeň,2,0,0.0,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Czechia,捷克,CZE,Group A,捷克,Hugo Sochůrek,25,Midfielder,"June 7, 2008",18,,N/A,,Sparta Prague,1,0,0.0,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Czechia,捷克,CZE,Group A,捷克,Denis Višinský,26,Forward,"March 21, 2003",23,,N/A,,Viktoria Plzeň,2,1,0.5,36.0,1660.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Raúl Rangel,1,Goalkeeper,"February 25, 2000",26,,N/A,,Guadalajara,14,0,0.0,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
