player_name,team,team_zh,nationality,position,age,national_goals,assists,appearances,recent_form,is_key_player,club,data_note
Aubrey Modiba,South Africa,南非,南非,Defender,30,3,1,44,7.0,False,Mamelodi Sundowns,N/A
Oswin Appollis,South Africa,南非,南非,Forward,24,8,3,25,7.4,False,Orlando Pirates,N/A
Tshepang Moremi,South Africa,南非,南非,Forward,25,1,0,9,6.8,False,Orlando Pirates,N/A
Lyle Foster,South Africa,南非,南非,Forward,25,10,4,26,7.6,True,Burnley,N/A
Relebohile Mofokeng,South Africa,南非,南非,Forward,21,0,0,12,6.5,False,Orlando Pirates,N/A
Themba Zwane,South Africa,南非,南非,Midfielder,36,12,5,53,7.5,True,Mamelodi Sundowns,N/A
Thapelo Maseko,South Africa,南非,南非,Forward,22,1,0,9,6.8,False,AEL Limassol,N/A
Sphephelo Sithole,South Africa,南非,南非,Midfielder,27,1,0,27,6.8,False,Tondela,N/A
Mbekezeli Mbokazi,South Africa,南非,南非,Defender,20,1,0,10,6.8,False,Chicago Fire FC,N/A
Iqraam Rayners,South Africa,南非,南非,Forward,30,4,2,13,7.3,False,Mamelodi Sundowns,N/A
Sipho Chaine,South Africa,南非,南非,Goalkeeper,29,0,0,3,6.4,False,Orlando Pirates,N/A
Evidence Makgopa,South Africa,南非,南非,Forward,26,6,3,26,7.2,False,Orlando Pirates,N/A
Samukele Kabini,South Africa,南非,南非,Defender,22,0,0,5,6.4,False,Molde,N/A
Nkosinathi Sibisi,South Africa,南非,南非,Defender,30,0,0,19,6.6,False,Orlando Pirates,N/A
Khuliso Mudau,South Africa,南非,南非,Defender,31,1,0,32,6.8,False,Mamelodi Sundowns,N/A
Ime Okon,South Africa,南非,南非,Defender,22,1,0,7,6.8,False,Hannover 96,N/A
Ricardo Goss,South Africa,南非,南非,Goalkeeper,32,0,0,4,6.4,False,Siwelele,N/A
Jayden Adams,South Africa,南非,南非,Midfielder,25,0,0,4,6.4,False,Mamelodi Sundowns,N/A
Olwethu Makhanya,South Africa,南非,南非,Defender,22,0,0,0,6.4,False,Philadelphia Union,N/A
Kamogelo Sebelebele,South Africa,南非,南非,Forward,23,0,0,2,6.4,False,Orlando Pirates,N/A
Bradley Cross,South Africa,南非,南非,Defender,25,0,0,0,6.4,False,Kaizer Chiefs,N/A
Kim Seung-gyu,South Korea,南韓,南韓,Goalkeeper,35,0,0,87,7.3,False,FC Tokyo,N/A
Lee Han-beom,South Korea,南韓,南韓,Defender,23,0,0,8,6.5,False,Midtjylland,N/A
Lee Gi-hyuk,South Korea,南韓,南韓,Midfielder,25,0,0,3,6.4,False,Gangwon FC,N/A
Kim Min-jae,South Korea,南韓,南韓,Defender,29,4,2,79,7.3,False,Bayern Munich,N/A
Kim Tae-hyeon,South Korea,南韓,南韓,Defender,25,0,0,7,6.5,False,Kashima Antlers,N/A
Hwang In-beom,South Korea,南韓,南韓,Midfielder,29,6,3,73,7.3,False,Feyenoord,N/A
Son Heung-min,South Korea,南韓,南韓,Forward,33,56,24,144,8.4,True,Los Angeles FC,N/A
Paik Seung-ho,South Korea,南韓,南韓,Midfielder,29,3,1,27,6.9,False,Birmingham City,N/A
Cho Gue-sung,South Korea,南韓,南韓,Forward,28,12,5,44,7.5,False,Midtjylland,N/A
Lee Jae-sung,South Korea,南韓,南韓,Midfielder,33,15,6,105,7.8,True,Mainz 05,N/A
Hwang Hee-chan,South Korea,南韓,南韓,Midfielder,30,17,7,79,7.7,True,Wolverhampton Wanderers,N/A
Song Bum-keun,South Korea,南韓,南韓,Goalkeeper,28,0,0,3,6.4,False,Jeonbuk Hyundai Motors,N/A
Lee Tae-seok,South Korea,南韓,南韓,Defender,23,1,0,15,6.7,False,Austria Wien,N/A
Cho Wi-je,South Korea,南韓,南韓,Defender,24,0,0,1,6.4,False,Jeonbuk Hyundai Motors,N/A
Kim Moon-hwan,South Korea,南韓,南韓,Defender,30,0,0,35,6.8,False,Daejeon Hana Citizen,N/A
Park Jin-seob,South Korea,南韓,南韓,Defender,30,1,0,14,6.7,False,Zhejiang,N/A
Bae Jun-ho,South Korea,南韓,南韓,Midfielder,22,2,1,13,6.9,False,Stoke City,N/A
Oh Hyeon-gyu,South Korea,南韓,南韓,Forward,25,6,3,27,7.2,False,Beşiktaş,N/A
Lee Kang-in,South Korea,南韓,南韓,Midfielder,25,11,5,47,7.5,False,Paris Saint-Germain,N/A
Yang Hyun-jun,South Korea,南韓,南韓,Midfielder,24,0,0,9,6.5,False,Celtic,N/A
Jo Hyeon-woo,South Korea,南韓,南韓,Goalkeeper,34,0,0,48,6.9,False,Ulsan HD,N/A
Seol Young-woo,South Korea,南韓,南韓,Defender,27,0,0,34,6.7,False,Red Star Belgrade,N/A
Jens Castrop,South Korea,南韓,南韓,Defender,22,0,0,7,6.5,False,Borussia Mönchengladbach,N/A
Kim Jin-gyu,South Korea,南韓,南韓,Midfielder,29,3,1,22,7.0,False,Jeonbuk Hyundai Motors,N/A
Eom Ji-sung,South Korea,南韓,南韓,Midfielder,24,2,1,9,7.0,False,Swansea City,N/A
Lee Dong-gyeong,South Korea,南韓,南韓,Midfielder,28,4,2,18,7.1,False,Ulsan HD,N/A
Nikola Vasilj,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Goalkeeper,30,0,0,26,6.7,False,FC St. Pauli,N/A
Nihad Mujakić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Defender,28,1,0,12,6.7,False,Gaziantep,N/A
Dennis Hadžikadunić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Defender,27,0,0,32,6.7,False,Sampdoria,N/A
Tarik Muharemović,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Defender,23,1,0,14,6.7,False,Sassuolo,N/A
Sead Kolašinac,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Defender,32,0,0,65,7.0,True,Atalanta,N/A
Benjamin Tahirović,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Midfielder,23,2,1,28,6.9,False,Brøndby,N/A
Amar Dedić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Defender,23,1,0,28,6.8,False,Benfica,N/A
Armin Gigović,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Midfielder,24,1,0,20,6.7,False,Young Boys,N/A
Samed Baždar,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Forward,22,1,0,13,6.7,False,Jagiellonia Białystok,N/A
Ermedin Demirović,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Forward,28,4,2,40,7.0,False,VfB Stuttgart,N/A
Edin Džeko,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Forward,40,73,31,148,8.6,True,Schalke 04,N/A
Mladen Jurkas,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Goalkeeper,18,0,0,0,6.4,False,Borac Banja Luka,N/A
Ivan Bašić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Midfielder,24,0,0,17,6.6,False,Astana,N/A
Ivan Šunjić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Midfielder,29,0,0,11,6.5,False,Pafos,N/A
Amar Memić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Midfielder,25,1,0,13,6.7,False,Viktoria Plzeň,N/A
Amir Hadžiahmetović,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Midfielder,29,0,0,36,6.8,False,Hull City,N/A
Dženis Burnić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Midfielder,28,0,0,20,6.6,False,Karlsruher SC,N/A
Nikola Katić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Defender,29,2,1,17,6.9,False,Schalke 04,N/A
Kerim Alajbegović,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Forward,18,1,0,10,6.8,False,Red Bull Salzburg,N/A
Esmir Bajraktarević,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Forward,21,1,0,16,6.7,False,PSV Eindhoven,N/A
Stjepan Radeljić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Defender,28,0,0,5,6.4,False,Rijeka,N/A
Martin Zlomislić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Goalkeeper,27,0,0,3,6.4,False,Rijeka,N/A
Haris Tabaković,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Forward,31,4,2,10,7.5,True,Borussia Mönchengladbach,N/A
Nidal Čelik,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Defender,19,0,0,2,6.4,False,Lens,N/A
Jovo Lukić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Forward,27,0,0,3,6.4,False,Universitatea Cluj,N/A
Ermin Mahmić,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,Midfielder,21,0,0,2,6.4,False,Slovan Liberec,N/A
Dayne St. Clair,Canada,加拿大,加拿大,Goalkeeper,29,0,0,20,6.6,False,Inter Miami CF,N/A
Alistair Johnston,Canada,加拿大,加拿大,Defender,27,1,0,58,7.0,False,Celtic,N/A
Alfie Jones,Canada,加拿大,加拿大,Defender,28,0,0,2,6.4,False,Middlesbrough,N/A
Luc de Fougerolles,Canada,加拿大,加拿大,Defender,20,0,0,13,6.5,False,Dender,N/A
Joel Waterman,Canada,加拿大,加拿大,Defender,30,0,0,17,6.6,False,Chicago Fire FC,N/A
Mathieu Choinière,Canada,加拿大,加拿大,Midfielder,27,0,0,23,6.6,False,Los Angeles FC,N/A
Stephen Eustáquio,Canada,加拿大,加拿大,Midfielder,29,4,2,56,7.1,False,Los Angeles FC,N/A
Ismaël Koné,Canada,加拿大,加拿大,Midfielder,23,4,2,40,7.0,False,Sassuolo,N/A
Cyle Larin,Canada,加拿大,加拿大,Forward,31,30,13,90,8.1,True,Southampton,N/A
Jonathan David,Canada,加拿大,加拿大,Forward,26,39,16,77,8.4,True,Juventus,N/A
Liam Millar,Canada,加拿大,加拿大,Midfielder,26,1,0,41,6.9,False,Hull City,N/A
Tani Oluwaseyi,Canada,加拿大,加拿大,Forward,26,2,1,24,6.8,False,Villarreal,N/A
Derek Cornelius,Canada,加拿大,加拿大,Defender,28,1,0,44,6.9,False,Rangers,N/A
Jacob Shaffelburg,Canada,加拿大,加拿大,Midfielder,26,6,3,31,7.2,False,Los Angeles FC,N/A
Moïse Bombito,Canada,加拿大,加拿大,Defender,26,0,0,20,6.6,False,Nice,N/A
Maxime Crépeau,Canada,加拿大,加拿大,Goalkeeper,32,0,0,32,6.7,False,Orlando City SC,N/A
Tajon Buchanan,Canada,加拿大,加拿大,Forward,27,8,3,60,7.3,False,Villarreal,N/A
Owen Goodman,Canada,加拿大,加拿大,Goalkeeper,22,0,0,0,6.4,False,Barnsley,N/A
Alphonso Davies,Canada,加拿大,加拿大,Defender,25,15,6,58,7.6,True,Bayern Munich,N/A
