match_id,date,taiwan_time,stage,group,home_team,away_team,stadium,city,status
69,2026-06-27,2026-06-28 07:30,Group K,Group K,Colombia,Portugal,Hard Rock Stadium,Miami,Upcoming
70,2026-06-27,2026-06-28 07:30,Group K,Group K,DR Congo,Uzbekistan,Mercedes-Benz Stadium,Atlanta,Upcoming
71,2026-06-27,2026-06-28 05:00,Group L,Group L,Panama,England,MetLife Stadium,New York/New Jersey,Upcoming
72,2026-06-27,2026-06-28 05:00,Group L,Group L,Croatia,Ghana,Lincoln Financial Field,Philadelphia,Upcoming
73,2026-06-28,2026-06-29 03:00,Round of 32,,Runner-up Group A,Runner-up Group B,SoFi Stadium,Los Angeles,Upcoming
74,2026-06-29,2026-06-30 04:30,Round of 32,,Winner Group E,3rd Group A/B/C/D/F,Gillette Stadium,Boston,Upcoming
75,2026-06-29,2026-06-30 09:00,Round of 32,,Winner Group F,Runner-up Group C,Estadio BBVA,TBD,Upcoming
76,2026-06-29,2026-06-30 01:00,Round of 32,,Winner Group C,Runner-up Group F,NRG Stadium,Houston,Upcoming
77,2026-06-30,2026-07-01 05:00,Round of 32,,Winner Group I,3rd Group C/D/F/G/H,MetLife Stadium,New York/New Jersey,Upcoming
78,2026-06-30,2026-07-01 01:00,Round of 32,,Runner-up Group E,Runner-up Group I,AT&T Stadium,Dallas,Upcoming
79,2026-06-30,2026-07-01 09:00,Round of 32,,Winner Group A,3rd Group C/E/F/H/I,Estadio Azteca,Mexico City,Upcoming
80,2026-07-01,2026-07-02 00:00,Round of 32,,Winner Group L,3rd Group E/H/I/J/K,Mercedes-Benz Stadium,Atlanta,Upcoming
81,2026-07-01,2026-07-02 08:00,Round of 32,,Winner Group D,3rd Group B/E/F/I/J,Levi's Stadium,San Francisco Bay Area,Upcoming
82,2026-07-01,2026-07-02 04:00,Round of 32,,Winner Group G,3rd Group A/E/H/I/J,Lumen Field,Seattle,Upcoming
83,2026-07-02,2026-07-03 07:00,Round of 32,,Runner-up Group K,Runner-up Group L,BMO Field,Toronto,Upcoming
84,2026-07-02,2026-07-03 03:00,Round of 32,,Winner Group H,Runner-up Group J,SoFi Stadium,Los Angeles,Upcoming
85,2026-07-02,2026-07-03 11:00,Round of 32,,Winner Group B,3rd Group E/F/G/I/J,BC Place,Vancouver,Upcoming
86,2026-07-03,2026-07-04 06:00,Round of 32,,Winner Group J,Runner-up Group H,Hard Rock Stadium,Miami,Upcoming
87,2026-07-03,2026-07-04 09:30,Round of 32,,Winner Group K,3rd Group D/E/I/J/L,Arrowhead Stadium,Kansas City,Upcoming
88,2026-07-03,2026-07-04 02:00,Round of 32,,Runner-up Group D,Runner-up Group G,AT&T Stadium,Dallas,Upcoming
89,2026-07-04,2026-07-05 01:00,Round of 16,,Winner Match 74,Winner Match 77,Lincoln Financial Field,Philadelphia,Upcoming
90,2026-07-04,2026-07-05 05:00,Round of 16,,Winner Match 73,Winner Match 75,NRG Stadium,Houston,Upcoming
91,2026-07-05,2026-07-06 04:00,Round of 16,,Winner Match 76,Winner Match 78,MetLife Stadium,New York/New Jersey,Upcoming
92,2026-07-05,2026-07-06 08:00,Round of 16,,Winner Match 79,Winner Match 80,Estadio Azteca,Mexico City,Upcoming
93,2026-07-06,2026-07-07 03:00,Round of 16,,Winner Match 83,Winner Match 84,AT&T Stadium,Dallas,Upcoming
94,2026-07-06,2026-07-07 08:00,Round of 16,,Winner Match 81,Winner Match 82,Lumen Field,Seattle,Upcoming
95,2026-07-07,2026-07-08 00:00,Round of 16,,Winner Match 86,Winner Match 88,Mercedes-Benz Stadium,Atlanta,Upcoming
96,2026-07-07,2026-07-08 04:00,Round of 16,,Winner Match 85,Winner Match 87,BC Place,Vancouver,Upcoming
97,2026-07-09,2026-07-10 04:00,Quarter-finals,,Winner Match 89,Winner Match 90,Gillette Stadium,Boston,Upcoming
98,2026-07-10,2026-07-11 03:00,Quarter-finals,,Winner Match 93,Winner Match 94,SoFi Stadium,Los Angeles,Upcoming
99,2026-07-11,2026-07-12 05:00,Quarter-finals,,Winner Match 91,Winner Match 92,Hard Rock Stadium,Miami,Upcoming
100,2026-07-11,2026-07-12 09:00,Quarter-finals,,Winner Match 95,Winner Match 96,Arrowhead Stadium,Kansas City,Upcoming
101,2026-07-14,2026-07-15 03:00,Semi-finals,,Winner Match 97,Winner Match 98,AT&T Stadium,Dallas,Upcoming
102,2026-07-15,2026-07-16 03:00,Semi-finals,,Winner Match 99,Winner Match 100,Mercedes-Benz Stadium,Atlanta,Upcoming
103,2026-07-18,2026-07-19 05:00,Third-place play-off,,Loser Match 101,Loser Match 102,Hard Rock Stadium,Miami,Upcoming
104,2026-07-19,2026-07-20 03:00,Final,,Winner Match 101,Winner Match 102,MetLife Stadium,New York/New Jersey,Upcoming
